盛行風向 (度) - 南丫島
Prevailing Wind Direction (°) - Lamma Island
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2012,2,11,320,C
2012,2,12,080,C
2012,2,13,090,C
2012,2,14,090,C
2012,2,15,100,C
2012,2,16,090,C
2012,2,17,320,C
2012,2,18,080,C
2012,2,19,090,C
2012,2,20,080,C
2012,2,21,080,C
2012,2,22,080,C
2012,2,23,100,C
2012,2,24,100,C
2012,2,25,090,C
2012,2,26,330,C
2012,2,27,350,C
2012,2,28,320,C
2012,2,29,080,C
2012,3,1,100,C
2012,3,2,100,C
2012,3,3,090,C
2012,3,4,090,C
2012,3,5,100,C
2012,3,6,110,C
2012,3,7,090,C
2012,3,8,080,C
2012,3,9,330,C
2012,3,10,320,C
2012,3,11,330,C
2012,3,12,010,C
2012,3,13,110,C
2012,3,14,090,C
2012,3,15,080,C
2012,3,16,100,C
2012,3,17,230,C
2012,3,18,090,C
2012,3,19,090,C
2012,3,20,100,C
2012,3,21,090,C
2012,3,22,080,C
2012,3,23,310,C
2012,3,24,330,C
2012,3,25,090,C
2012,3,26,090,C
2012,3,27,090,C
2012,3,28,090,C
2012,3,29,090,C
2012,3,30,090,C
2012,3,31,090,C
2012,4,1,090,C
2012,4,2,090,C
2012,4,3,220,C
2012,4,4,090,C
2012,4,5,100,C
2012,4,6,090,C
2012,4,7,080,C
2012,4,8,090,C
2012,4,9,090,C
2012,4,10,090,C
2012,4,11,210,C
2012,4,12,100,C
2012,4,13,110,C
2012,4,14,140,C
2012,4,15,110,C
2012,4,16,200,C
2012,4,17,090,C
2012,4,18,090,C
2012,4,19,090,C
2012,4,20,090,C
2012,4,21,320,C
2012,4,22,090,C
2012,4,23,***,
2012,4,24,120,C
2012,4,25,120,C
2012,4,26,320,C
2012,4,27,090,C
2012,4,28,090,C
2012,4,29,130,C
2012,4,30,120,C
2012,5,1,130,C
2012,5,2,210,C
2012,5,3,130,C
2012,5,4,120,C
2012,5,5,090,C
2012,5,6,090,C
2012,5,7,090,C
2012,5,8,220,C
2012,5,9,220,C
2012,5,10,210,C
2012,5,11,090,C
2012,5,12,090,C
2012,5,13,090,C
2012,5,14,090,C
2012,5,15,090,C
2012,5,16,090,C
2012,5,17,090,C
2012,5,18,090,C
2012,5,19,090,C
2012,5,20,090,C
2012,5,21,090,C
2012,5,22,090,C
2012,5,23,090,C
2012,5,24,090,C
2012,5,25,090,C
2012,5,26,090,C
2012,5,27,090,C
2012,5,28,090,C
2012,5,29,090,C
2012,5,30,090,C
2012,5,31,090,C
2012,6,1,090,C
2012,6,2,090,C
2012,6,3,090,C
2012,6,4,100,C
2012,6,5,110,C
2012,6,6,100,C
2012,6,7,090,C
2012,6,8,090,C
2012,6,9,210,C
2012,6,10,220,C
2012,6,11,220,C
2012,6,12,310,C
2012,6,13,090,C
2012,6,14,100,C
2012,6,15,090,C
2012,6,16,090,C
2012,6,17,090,C
2012,6,18,090,C
2012,6,19,070,C
2012,6,20,220,C
2012,6,21,130,#
2012,6,22,210,#
2012,6,23,210,C
2012,6,24,140,C
2012,6,25,210,C
2012,6,26,130,C
2012,6,27,110,C
2012,6,28,100,C
2012,6,29,320,C
2012,6,30,110,C
2012,7,1,090,C
2012,7,2,100,C
2012,7,3,100,C
2012,7,4,100,C
2012,7,5,090,C
2012,7,6,110,C
2012,7,7,110,C
2012,7,8,110,C
2012,7,9,210,C
2012,7,10,210,C
2012,7,11,210,C
2012,7,12,210,C
2012,7,13,210,C
2012,7,14,210,C
2012,7,15,210,C
2012,7,16,210,C
2012,7,17,210,C
2012,7,18,110,C
2012,7,19,230,C
2012,7,20,220,C
2012,7,21,090,C
2012,7,22,060,C
2012,7,23,050,C
2012,7,24,110,C
2012,7,25,100,C
2012,7,26,090,C
2012,7,27,090,C
2012,7,28,110,C
2012,7,29,090,C
2012,7,30,220,C
2012,7,31,220,C
2012,8,1,200,C
2012,8,2,310,C
2012,8,3,220,C
2012,8,4,220,C
2012,8,5,200,C
2012,8,6,090,C
2012,8,7,220,C
2012,8,8,220,C
2012,8,9,220,C
2012,8,10,220,C
2012,8,11,210,C
2012,8,12,120,C
2012,8,13,120,C
2012,8,14,100,C
2012,8,15,210,C
2012,8,16,080,C
2012,8,17,100,C
2012,8,18,110,C
2012,8,19,220,C
2012,8,20,220,C
2012,8,21,220,C
2012,8,22,320,C
2012,8,23,330,C
2012,8,24,310,C
2012,8,25,310,C
2012,8,26,320,C
2012,8,27,220,C
2012,8,28,210,C
2012,8,29,210,C
2012,8,30,210,C
2012,8,31,090,C
2012,9,1,090,C
2012,9,2,090,C
2012,9,3,090,C
2012,9,4,080,C
2012,9,5,090,C
2012,9,6,090,C
2012,9,7,100,C
2012,9,8,090,C
2012,9,9,080,C
2012,9,10,090,C
2012,9,11,100,C
2012,9,12,090,C
2012,9,13,070,C
2012,9,14,330,C
2012,9,15,330,C
2012,9,16,320,C
2012,9,17,330,C
2012,9,18,100,C
2012,9,19,090,C
2012,9,20,090,C
2012,9,21,090,C
2012,9,22,090,C
2012,9,23,090,C
2012,9,24,090,C
2012,9,25,090,C
2012,9,26,090,#
2012,9,27,200,C
2012,9,28,330,C
2012,9,29,330,C
2012,9,30,080,C
2012,10,1,080,C
2012,10,2,090,C
2012,10,3,090,C
2012,10,4,080,C
2012,10,5,090,C
2012,10,6,090,C
2012,10,7,090,C
2012,10,8,090,C
2012,10,9,090,C
2012,10,10,330,C
2012,10,11,090,C
2012,10,12,080,C
2012,10,13,080,C
2012,10,14,080,C
2012,10,15,090,C
2012,10,16,090,C
2012,10,17,330,C
2012,10,18,090,C
2012,10,19,090,C
2012,10,20,090,C
2012,10,21,070,C
2012,10,22,***,
2012,10,23,090,C
2012,10,24,090,C
2012,10,25,090,C
2012,10,26,070,C
2012,10,27,090,C
2012,10,28,090,C
2012,10,29,090,C
2012,10,30,090,C
2012,10,31,360,C
2012,11,1,080,C
2012,11,2,090,C
2012,11,3,090,C
2012,11,4,360,C
2012,11,5,090,C
2012,11,6,080,C
2012,11,7,090,C
2012,11,8,090,C
2012,11,9,090,C
2012,11,10,090,C
2012,11,11,320,C
2012,11,12,330,C
2012,11,13,320,C
2012,11,14,090,C
2012,11,15,090,C
2012,11,16,090,C
2012,11,17,320,C
2012,11,18,060,C
2012,11,19,080,C
2012,11,20,090,C
2012,11,21,090,C
2012,11,22,110,C
2012,11,23,330,C
2012,11,24,090,C
2012,11,25,090,C
2012,11,26,330,C
2012,11,27,080,C
2012,11,28,090,C
2012,11,29,330,C
2012,11,30,090,C
2012,12,1,090,C
2012,12,2,320,C
2012,12,3,330,C
2012,12,4,080,C
2012,12,5,350,C
2012,12,6,080,C
2012,12,7,090,C
2012,12,8,080,C
2012,12,9,090,C
2012,12,10,090,C
2012,12,11,080,C
2012,12,12,080,C
2012,12,13,080,C
2012,12,14,090,C
2012,12,15,100,C
2012,12,16,120,C
2012,12,17,090,C
2012,12,18,330,C
2012,12,19,080,C
2012,12,20,080,C
2012,12,21,090,C
2012,12,22,320,C
2012,12,23,330,C
2012,12,24,070,C
2012,12,25,330,C
2012,12,26,080,C
2012,12,27,330,C
2012,12,28,100,C
2012,12,29,090,C
2012,12,30,330,C
2012,12,31,340,C
2013,1,1,080,C
2013,1,2,090,C
2013,1,3,070,C
2013,1,4,320,C
2013,1,5,320,C
2013,1,6,320,C
2013,1,7,320,C
2013,1,8,320,C
2013,1,9,320,C
2013,1,10,320,C
2013,1,11,080,C
2013,1,12,320,C
2013,1,13,310,C
2013,1,14,330,C
2013,1,15,080,C
2013,1,16,090,C
2013,1,17,090,C
2013,1,18,090,C
2013,1,19,090,C
2013,1,20,080,C
2013,1,21,090,C
2013,1,22,220,C
2013,1,23,100,C
2013,1,24,100,C
2013,1,25,090,C
2013,1,26,090,C
2013,1,27,080,C
2013,1,28,090,C
2013,1,29,090,C
2013,1,30,090,C
2013,1,31,100,C
2013,2,1,350,C
2013,2,2,090,C
2013,2,3,090,C
2013,2,4,230,C
2013,2,5,110,C
2013,2,6,100,C
2013,2,7,090,C
2013,2,8,090,C
2013,2,9,320,C
2013,2,10,090,C
2013,2,11,090,C
2013,2,12,220,C
2013,2,13,320,C
2013,2,14,100,C
2013,2,15,220,C
2013,2,16,090,C
2013,2,17,090,C
2013,2,18,210,C
2013,2,19,090,C
2013,2,20,090,C
2013,2,21,090,C
2013,2,22,090,C
2013,2,23,080,C
2013,2,24,080,C
2013,2,25,090,C
2013,2,26,100,C
2013,2,27,210,#
2013,2,28,090,C
2013,3,1,090,C
2013,3,2,090,C
2013,3,3,330,C
2013,3,4,330,C
2013,3,5,090,C
2013,3,6,090,C
2013,3,7,210,C
2013,3,8,210,C
2013,3,9,240,C
2013,3,10,210,C
2013,3,11,090,C
2013,3,12,090,C
2013,3,13,200,C
2013,3,14,090,#
2013,3,15,090,C
2013,3,16,090,C
2013,3,17,090,C
2013,3,18,220,C
2013,3,19,110,C
2013,3,20,210,C
2013,3,21,090,C
2013,3,22,090,C
2013,3,23,110,C
2013,3,24,120,C
2013,3,25,090,C
2013,3,26,090,C
2013,3,27,090,C
2013,3,28,090,C
2013,3,29,090,C
2013,3,30,090,C
2013,3,31,090,C
2013,4,1,090,#
2013,4,2,***,
2013,4,3,***,
2013,4,4,***,
2013,4,5,***,
2013,4,6,***,
2013,4,7,***,
2013,4,8,***,
2013,4,9,***,
2013,4,10,***,
2013,4,11,***,
2013,4,12,***,
2013,4,13,***,
2013,4,14,***,
2013,4,15,***,
2013,4,16,***,
2013,4,17,***,
2013,4,18,***,
2013,4,19,***,
2013,4,20,***,
2013,4,21,***,
2013,4,22,***,
2013,4,23,***,
2013,4,24,***,
2013,4,25,***,
2013,4,26,***,
2013,4,27,***,
2013,4,28,***,
2013,4,29,***,
2013,4,30,***,
2013,5,1,***,
2013,5,2,***,
2013,5,3,***,
2013,5,4,***,
2013,5,5,***,
2013,5,6,***,
2013,5,7,***,
2013,5,8,***,
2013,5,9,***,
2013,5,10,***,
2013,5,11,***,
2013,5,12,***,
2013,5,13,***,
2013,5,14,***,
2013,5,15,***,
2013,5,16,***,
2013,5,17,***,
2013,5,18,***,
2013,5,19,***,
2013,5,20,***,
2013,5,21,***,
2013,5,22,***,
2013,5,23,***,
2013,5,24,***,
2013,5,25,***,
2013,5,26,***,
2013,5,27,***,
2013,5,28,210,#
2013,5,29,110,C
2013,5,30,230,C
2013,5,31,220,C
2013,6,1,220,C
2013,6,2,230,C
2013,6,3,230,C
2013,6,4,100,C
2013,6,5,090,C
2013,6,6,090,C
2013,6,7,220,C
2013,6,8,220,C
2013,6,9,210,C
2013,6,10,210,C
2013,6,11,330,C
2013,6,12,320,C
2013,6,13,360,C
2013,6,14,070,C
2013,6,15,090,C
2013,6,16,100,C
2013,6,17,100,C
2013,6,18,090,C
2013,6,19,220,C
2013,6,20,230,C
2013,6,21,090,C
2013,6,22,100,C
2013,6,23,120,C
2013,6,24,130,C
2013,6,25,210,C
2013,6,26,210,C
2013,6,27,210,C
2013,6,28,210,C
2013,6,29,130,C
2013,6,30,110,C
2013,7,1,100,C
2013,7,2,120,C
2013,7,3,120,C
2013,7,4,220,C
2013,7,5,230,C
2013,7,6,220,C
2013,7,7,210,C
2013,7,8,120,C
2013,7,9,100,C
2013,7,10,090,C
2013,7,11,220,C
2013,7,12,230,C
2013,7,13,230,C
2013,7,14,220,C
2013,7,15,090,C
2013,7,16,090,C
2013,7,17,090,C
2013,7,18,100,C
2013,7,19,090,C
2013,7,20,100,C
2013,7,21,090,C
2013,7,22,100,C
2013,7,23,100,C
2013,7,24,090,C
2013,7,25,100,C
2013,7,26,120,C
2013,7,27,110,C
2013,7,28,110,C
2013,7,29,100,C
2013,7,30,090,C
2013,7,31,090,C
2013,8,1,090,C
2013,8,2,090,C
2013,8,3,110,C
2013,8,4,100,C
2013,8,5,100,C
2013,8,6,100,C
2013,8,7,100,C
2013,8,8,120,C
2013,8,9,230,C
2013,8,10,100,C
2013,8,11,100,C
2013,8,12,090,C
2013,8,13,070,C
2013,8,14,110,C
2013,8,15,140,C
2013,8,16,140,C
2013,8,17,210,C
2013,8,18,130,C
2013,8,19,110,C
2013,8,20,220,C
2013,8,21,310,C
2013,8,22,230,C
2013,8,23,210,C
2013,8,24,120,C
2013,8,25,100,#
2013,8,26,090,C
2013,8,27,220,C
2013,8,28,100,C
2013,8,29,220,C
2013,8,30,240,C
2013,8,31,340,C
2013,9,1,230,C
2013,9,2,220,C
2013,9,3,090,C
2013,9,4,090,C
2013,9,5,090,C
2013,9,6,090,C
2013,9,7,100,C
2013,9,8,090,C
2013,9,9,090,C
2013,9,10,100,C
2013,9,11,090,C
2013,9,12,090,C
2013,9,13,080,C
2013,9,14,110,C
2013,9,15,090,C
2013,9,16,090,C
2013,9,17,090,C
2013,9,18,090,C
2013,9,19,090,C
2013,9,20,300,C
2013,9,21,330,C
2013,9,22,330,C
2013,9,23,120,C
2013,9,24,100,C
2013,9,25,090,C
2013,9,26,080,C
2013,9,27,090,C
2013,9,28,080,C
2013,9,29,050,C
2013,9,30,090,C
2013,10,1,090,C
2013,10,2,100,C
2013,10,3,090,C
2013,10,4,100,C
2013,10,5,090,C
2013,10,6,320,C
2013,10,7,330,C
2013,10,8,330,C
2013,10,9,100,C
2013,10,10,090,C
2013,10,11,100,C
2013,10,12,090,C
2013,10,13,090,C
2013,10,14,090,C
2013,10,15,090,C
2013,10,16,090,C
2013,10,17,090,#
2013,10,18,090,#
2013,10,19,100,C
2013,10,20,100,C
2013,10,21,100,C
2013,10,22,100,C
2013,10,23,010,C
2013,10,24,340,C
2013,10,25,010,C
2013,10,26,090,C
2013,10,27,090,C
2013,10,28,090,C
2013,10,29,090,C
2013,10,30,090,C
2013,10,31,090,C
2013,11,1,330,C
2013,11,2,010,C
2013,11,3,360,#
2013,11,4,***,
2013,11,5,080,#
2013,11,6,130,#
2013,11,7,***,
2013,11,8,100,#
2013,11,9,080,C
2013,11,10,100,C
2013,11,11,090,C
2013,11,12,090,C
2013,11,13,350,C
2013,11,14,320,C
2013,11,15,320,C
2013,11,16,320,C
2013,11,17,100,C
2013,11,18,070,C
2013,11,19,080,C
2013,11,20,080,C
2013,11,21,080,C
2013,11,22,090,C
2013,11,23,090,#
2013,11,24,330,#
2013,11,25,320,C
2013,11,26,090,C
2013,11,27,080,C
2013,11,28,340,C
2013,11,29,010,#
2013,11,30,***,
2013,12,1,***,
2013,12,2,100,#
2013,12,3,100,C
2013,12,4,330,C
2013,12,5,100,C
2013,12,6,330,C
2013,12,7,090,C
2013,12,8,090,C
2013,12,9,320,C
2013,12,10,090,C
2013,12,11,080,C
2013,12,12,080,C
2013,12,13,330,C
2013,12,14,080,C
2013,12,15,060,C
2013,12,16,330,C
2013,12,17,330,C
2013,12,18,340,C
2013,12,19,330,C
2013,12,20,360,C
2013,12,21,360,C
2013,12,22,320,C
2013,12,23,360,C
2013,12,24,330,C
2013,12,25,320,C
2013,12,26,330,C
2013,12,27,340,C
2013,12,28,330,C
2013,12,29,090,C
2013,12,30,100,C
2013,12,31,330,C
2014,1,1,340,C
2014,1,2,100,C
2014,1,3,100,C
2014,1,4,330,C
2014,1,5,090,C
2014,1,6,090,C
2014,1,7,090,C
2014,1,8,320,C
2014,1,9,330,C
2014,1,10,090,C
2014,1,11,100,C
2014,1,12,320,C
2014,1,13,330,C
2014,1,14,330,C
2014,1,15,360,C
2014,1,16,080,C
2014,1,17,100,C
2014,1,18,330,C
2014,1,19,080,C
2014,1,20,100,C
2014,1,21,360,C
2014,1,22,010,C
2014,1,23,080,C
2014,1,24,090,C
2014,1,25,100,C
2014,1,26,090,C
2014,1,27,090,C
2014,1,28,100,C
2014,1,29,100,C
2014,1,30,100,C
2014,1,31,100,C
2014,2,1,100,C
2014,2,2,100,C
2014,2,3,100,#
2014,2,4,090,C
2014,2,5,090,C
2014,2,6,110,#
2014,2,7,120,#
2014,2,8,330,C
2014,2,9,330,C
2014,2,10,340,C
2014,2,11,330,C
2014,2,12,330,C
2014,2,13,320,C
2014,2,14,320,C
2014,2,15,090,C
2014,2,16,090,C
2014,2,17,110,C
2014,2,18,320,C
2014,2,19,330,C
2014,2,20,340,C
2014,2,21,090,C
2014,2,22,090,C
2014,2,23,090,C
2014,2,24,090,C
2014,2,25,090,C
2014,2,26,090,C
2014,2,27,090,C
2014,2,28,090,C
2014,3,1,090,C
2014,3,2,090,C
2014,3,3,090,C
2014,3,4,090,C
2014,3,5,090,C
2014,3,6,090,C
2014,3,7,090,C
2014,3,8,090,C
2014,3,9,330,C
2014,3,10,090,C
2014,3,11,090,C
2014,3,12,090,C
2014,3,13,330,C
2014,3,14,080,C
2014,3,15,090,C
2014,3,16,100,C
2014,3,17,090,C
2014,3,18,110,C
2014,3,19,310,#
2014,3,20,220,C
2014,3,21,360,C
2014,3,22,080,C
2014,3,23,090,C
2014,3,24,100,C
2014,3,25,100,C
2014,3,26,090,C
2014,3,27,100,C
2014,3,28,100,C
2014,3,29,110,C
2014,3,30,100,C
2014,3,31,100,C
2014,4,1,100,C
2014,4,2,100,C
2014,4,3,100,C
2014,4,4,090,C
2014,4,5,100,C
2014,4,6,090,C
2014,4,7,090,C
2014,4,8,100,C
2014,4,9,100,C
2014,4,10,100,C
2014,4,11,100,#
2014,4,12,130,#
2014,4,13,220,C
2014,4,14,090,#
2014,4,15,090,C
2014,4,16,100,C
2014,4,17,110,C
2014,4,18,090,#
2014,4,19,100,#
2014,4,20,090,#
2014,4,21,100,#
2014,4,22,100,#
2014,4,23,100,#
2014,4,24,090,#
2014,4,25,090,C
2014,4,26,090,#
2014,4,27,340,#
2014,4,28,320,C
2014,4,29,090,C
2014,4,30,090,C
2014,5,1,090,#
2014,5,2,090,#
2014,5,3,100,#
2014,5,4,090,C
2014,5,5,090,C
2014,5,6,090,C
2014,5,7,090,#
2014,5,8,100,#
2014,5,9,100,C
2014,5,10,100,C
2014,5,11,110,C
2014,5,12,110,C
2014,5,13,120,C
2014,5,14,210,C
2014,5,15,210,C
2014,5,16,120,C
2014,5,17,120,C
2014,5,18,210,C
2014,5,19,210,#
2014,5,20,220,#
2014,5,21,120,C
2014,5,22,210,C
2014,5,23,210,C
2014,5,24,100,C
2014,5,25,220,C
2014,5,26,230,C
2014,5,27,230,C
2014,5,28,230,C
2014,5,29,230,C
2014,5,30,220,C
2014,5,31,230,C
2014,6,1,230,C
2014,6,2,230,C
2014,6,3,240,C
2014,6,4,230,C
2014,6,5,220,C
2014,6,6,090,C
2014,6,7,340,C
2014,6,8,230,C
2014,6,9,090,C
2014,6,10,090,C
2014,6,11,100,C
2014,6,12,090,C
2014,6,13,090,C
2014,6,14,330,C
2014,6,15,220,C
2014,6,16,220,C
2014,6,17,210,C
2014,6,18,220,C
2014,6,19,220,C
2014,6,20,210,C
2014,6,21,100,C
2014,6,22,090,C
2014,6,23,100,C
2014,6,24,120,C
2014,6,25,100,C
2014,6,26,220,C
2014,6,27,100,C
2014,6,28,100,C
2014,6,29,090,C
2014,6,30,110,C
2014,7,1,090,C
2014,7,2,130,C
2014,7,3,220,C
2014,7,4,220,C
2014,7,5,230,C
2014,7,6,230,C
2014,7,7,330,C
2014,7,8,220,C
2014,7,9,340,C
2014,7,10,210,C
2014,7,11,090,C
2014,7,12,110,C
2014,7,13,220,C
2014,7,14,230,C
2014,7,15,110,C
2014,7,16,100,C
2014,7,17,090,C
2014,7,18,100,C
2014,7,19,110,C
2014,7,20,100,C
2014,7,21,090,C
2014,7,22,230,C
2014,7,23,240,C
2014,7,24,220,C
2014,7,25,220,C
2014,7,26,090,C
2014,7,27,090,C
2014,7,28,090,C
2014,7,29,100,C
2014,7,30,220,C
2014,7,31,230,C
2014,8,1,230,C
2014,8,2,220,C
2014,8,3,220,C
2014,8,4,220,C
2014,8,5,090,C
2014,8,6,220,C
2014,8,7,230,C
2014,8,8,230,C
2014,8,9,220,C
2014,8,10,230,C
2014,8,11,230,C
2014,8,12,220,#
2014,8,13,100,C
2014,8,14,220,C
2014,8,15,220,C
2014,8,16,230,C
2014,8,17,230,C
2014,8,18,230,C
2014,8,19,230,C
2014,8,20,100,C
2014,8,21,100,C
2014,8,22,110,C
2014,8,23,220,C
2014,8,24,090,C
2014,8,25,110,C
2014,8,26,100,C
2014,8,27,090,C
2014,8,28,100,C
2014,8,29,080,C
2014,8,30,100,C
2014,8,31,100,C
2014,9,1,100,C
2014,9,2,230,C
2014,9,3,230,C
2014,9,4,330,C
2014,9,5,090,C
2014,9,6,100,C
2014,9,7,090,C
2014,9,8,110,C
2014,9,9,100,C
2014,9,10,090,C
2014,9,11,120,C
2014,9,12,090,C
2014,9,13,100,C
2014,9,14,100,C
2014,9,15,080,C
2014,9,16,110,C
2014,9,17,110,C
2014,9,18,220,C
2014,9,19,090,C
2014,9,20,330,C
2014,9,21,330,C
2014,9,22,330,C
2014,9,23,100,C
2014,9,24,220,C
2014,9,25,100,C
2014,9,26,120,C
2014,9,27,100,C
2014,9,28,100,C
2014,9,29,220,C
2014,9,30,220,C
2014,10,1,090,C
2014,10,2,090,C
2014,10,3,100,C
2014,10,4,090,C
2014,10,5,090,C
2014,10,6,090,C
2014,10,7,090,C
2014,10,8,090,C
2014,10,9,100,C
2014,10,10,330,C
2014,10,11,330,C
2014,10,12,010,C
2014,10,13,330,C
2014,10,14,090,C
2014,10,15,090,C
2014,10,16,090,C
2014,10,17,090,C
2014,10,18,090,C
2014,10,19,090,C
2014,10,20,090,C
2014,10,21,100,C
2014,10,22,330,C
2014,10,23,090,C
2014,10,24,090,C
2014,10,25,090,C
2014,10,26,100,C
2014,10,27,100,C
2014,10,28,090,C
2014,10,29,090,C
2014,10,30,090,C
2014,10,31,100,C
2014,11,1,100,C
2014,11,2,330,C
2014,11,3,340,C
2014,11,4,090,C
2014,11,5,090,C
2014,11,6,090,C
2014,11,7,090,C
2014,11,8,340,C
2014,11,9,090,C
2014,11,10,090,C
2014,11,11,090,C
2014,11,12,330,C
2014,11,13,340,C
2014,11,14,090,#
2014,11,15,090,C
2014,11,16,100,C
2014,11,17,340,C
2014,11,18,340,C
2014,11,19,080,C
2014,11,20,090,C
2014,11,21,090,C
2014,11,22,090,C
2014,11,23,090,C
2014,11,24,100,#
2014,11,25,100,C
2014,11,26,090,C
2014,11,27,090,C
2014,11,28,100,C
2014,11,29,090,C
2014,11,30,090,C
2014,12,1,340,C
2014,12,2,060,C
2014,12,3,090,C
2014,12,4,340,C
2014,12,5,340,C
2014,12,6,080,C
2014,12,7,080,C
2014,12,8,330,C
2014,12,9,090,C
2014,12,10,090,C
2014,12,11,330,C
2014,12,12,330,C
2014,12,13,330,C
2014,12,14,090,C
2014,12,15,070,C
2014,12,16,330,C
2014,12,17,360,C
2014,12,18,360,C
2014,12,19,320,C
2014,12,20,090,C
2014,12,21,010,#
2014,12,22,360,#
2014,12,23,070,C
2014,12,24,330,#
2014,12,25,090,C
2014,12,26,090,#
2014,12,27,080,#
2014,12,28,330,#
2014,12,29,320,#
2014,12,30,100,#
2014,12,31,040,#
2015,1,1,360,#
2015,1,2,090,#
2015,1,3,100,C
2015,1,4,100,C
2015,1,5,100,C
2015,1,6,100,C
2015,1,7,330,C
2015,1,8,090,C
2015,1,9,080,C
2015,1,10,090,C
2015,1,11,080,C
2015,1,12,360,C
2015,1,13,330,C
2015,1,14,330,C
2015,1,15,340,C
2015,1,16,100,C
